iter	Passed	Remaining
909	4311	426
910	4315	421
911	4320	416
912	4324	412
913	4329	407
914	4334	402
915	4338	397
916	4343	393
917	4348	388
918	4352	383
919	4356	378
920	4361	374
921	4365	369
922	4370	364
923	4374	359
924	4379	355
925	4384	350
926	4389	345
927	4394	340
928	4398	336
929	4404	331
930	4409	326
931	4413	321
932	4418	317
933	4423	312
934	4428	307
935	4433	303
936	4437	298
937	4442	293
938	4447	288
939	4452	284
940	4456	279
941	4460	274
942	4465	269
943	4469	265
944	4474	260
945	4479	255
946	4483	250
947	4487	246
948	4492	241
949	4496	236
950	4501	231
951	4506	227
952	4510	222
953	4515	217
954	4519	212
955	4525	208
956	4529	203
957	4534	198
958	4538	194
959	4543	189
960	4548	184
961	4552	179
962	4557	175
963	4561	170
964	4567	165
965	4571	160
966	4576	156
967	4580	151
968	4585	146
969	4590	141
970	4594	137
971	4599	132
972	4603	127
973	4608	123
974	4613	118
975	4617	113
976	4622	108
977	4626	104
978	4632	99
979	4636	94
980	4641	89
981	4646	85
982	4650	80
983	4656	75
984	4660	70
985	4666	66
986	4670	61
987	4675	56
988	4680	52
989	4684	47
990	4689	42
991	4693	37
992	4698	33
993	4702	28
994	4707	23
995	4712	18
996	4717	14
997	4722	9
998	4726	4
999	4731	0
