iter	Passed	Remaining
569	2699	2036
570	2704	2031
571	2708	2026
572	2713	2021
573	2717	2017
574	2722	2012
575	2726	2006
576	2731	2002
577	2736	1997
578	2741	1993
579	2746	1988
580	2750	1983
581	2754	1978
582	2759	1973
583	2763	1968
584	2768	1964
585	2773	1959
586	2777	1954
587	2782	1949
588	2787	1944
589	2791	1939
590	2796	1935
591	2801	1930
592	2805	1925
593	2810	1920
594	2815	1916
595	2820	1911
596	2824	1906
597	2829	1902
598	2833	1897
599	2839	1892
600	2844	1888
601	2848	1883
602	2853	1878
603	2857	1873
604	2862	1868
605	2867	1864
606	2872	1859
607	2876	1854
608	2881	1849
609	2885	1845
610	2890	1840
611	2895	1835
612	2899	1830
613	2904	1825
614	2909	1821
615	2913	1816
616	2918	1811
617	2922	1806
618	2927	1801
619	2931	1797
620	2936	1792
621	2941	1787
622	2946	1782
623	2951	1778
624	2955	1773
625	2959	1768
626	2964	1763
627	2969	1758
628	2974	1754
629	2979	1749
630	2983	1744
631	2988	1740
632	2993	1735
633	2997	1730
634	3002	1726
635	3007	1721
636	3011	1716
637	3016	1711
638	3020	1706
639	3025	1702
640	3030	1697
641	3035	1692
642	3040	1688
643	3045	1683
644	3051	1679
645	3056	1674
646	3060	1669
647	3065	1665
648	3070	1660
649	3075	1656
650	3079	1651
651	3084	1646
652	3089	1641
653	3094	1636
654	3098	1632
655	3103	1627
656	3108	1622
657	3112	1617
658	3117	1613
659	3122	1608
660	3127	1603
661	3132	1599
662	3136	1594
663	3141	1589
664	3145	1584
665	3150	1580
666	3155	1575
667	3159	1570
668	3164	1565
669	3168	1560
670	3173	1556
671	3178	1551
672	3183	1546
673	3187	1541
674	3192	1536
675	3196	1532
676	3201	1527
677	3206	1522
678	3211	1518
679	3216	1513
680	3220	1508
681	3225	1504
682	3230	1499
683	3235	1494
684	3239	1489
685	3244	1484
686	3249	1480
687	3253	1475
688	3258	1470
689	3262	1465
690	3267	1461
691	3272	1456
692	3277	1451
693	3282	1447
694	3287	1442
695	3291	1437
696	3296	1433
697	3301	1428
698	3305	1423
699	3310	1418
700	3315	1414
701	3320	1409
702	3325	1404
703	3329	1399
704	3333	1395
705	3338	1390
706	3343	1385
707	3348	1381
708	3353	1376
709	3358	1371
710	3362	1366
